,Text#,Type,Issued,Title,Language,Authors,Bookshelves,BookId
3731,11547,Text,2004-03-01,Blackfoot Lodge Tales: The Story of a Prairie People,en,"Grinnell, George Bird, 1849-1938",Folklore; Native America,3731
3732,11548,Text,2004-05-01,"McClure's Magazine December, 1895",en,"Tarbell, Ida M. (Ida Minerva), 1857-1944 [Editor]",McClure's Magazine,3732
3733,11551,Text,2004-03-01,"The Mirror of Literature, Amusement, and Instruction. Volume 19, No. 546, May 12, 1832",en,Various,"The Mirror of Literature, Amusement, and Instruction",3733
3734,11552,Text,2004-03-01,"Slave Narratives: A Folk History of Slavery in the United States from Interviews with Former Slaves, Volume VIII, Maryland Narratives",en,United States. Work Projects Administration,Slavery,3734
3735,11553,Text,2004-03-01,"The Wonders of Prayer
A Record of Well Authenticated and Wonderful Answers to Prayer",en,"Whittle, D. W. (Daniel Webster), 1840-1901 [Editor]",Christianity,3735
3736,11560,Text,2004-03-01,The Barbarism of Berlin,en,"Chesterton, G. K. (Gilbert Keith), 1874-1936",Germany,3736
3737,11565,Text,2004-03-01,"Friends, though divided: A Tale of the Civil War",en,"Henty, G. A. (George Alfred), 1832-1902",Children's Fiction; English Civil War; US Civil War,3737
3738,11566,Text,2004-03-01,"The Mirror of Literature, Amusement, and Instruction. Volume 19, No. 533, February 11, 1832",en,Various,"The Mirror of Literature, Amusement, and Instruction",3738
3739,11567,Text,2004-03-01,"The Mirror of Literature, Amusement, and Instruction. Volume 19, No. 543, Saturday, April 21, 1832.",en,Various,"The Mirror of Literature, Amusement, and Instruction",3739
3740,11568,Text,2004-03-01,"The Mirror of Literature, Amusement, and Instruction. Volume 20, No. 562, Saturday, August 18, 1832.",en,Various,"The Mirror of Literature, Amusement, and Instruction",3740
3741,11569,Text,2004-03-01,"The Mirror of Literature, Amusement, and Instruction. Volume 19, No. 547, May 19, 1832",en,Various,"The Mirror of Literature, Amusement, and Instruction",3741
3742,11570,Text,2004-03-01,"Punch, or the London Charivari, Volume 153, November 7, 1917",en,Various,Punch,3742
3743,11571,Text,2004-03-01,Mr. Punch's History of the Great War,en,"Graves, Charles L. (Charles Larcom), 1856-1944",World War I,3743
3744,11572,Text,2004-03-01,The Man from Brodney's,en,"McCutcheon, George Barr, 1866-1928; Fisher, Harrison, 1875-1934 [Illustrator]","Bestsellers, American, 1895-1923",3744
3745,11574,Text,2004-03-01,Master Skylark: A Story of Shakspere's Time,en,"Bennett, John, 1865-1956; Birch, Reginald Bathurst, 1856-1943 [Illustrator]",Historical Fiction,3745
3746,11575,Text,2004-03-01,"Notes and Queries, Number 12, January 19, 1850",en,Various,Notes and Queries,3746
3747,11577,Text,2004-03-01,"Notes and Queries, Number 03, November 17, 1849",en,Various,Notes and Queries,3747
3748,11583,Text,2004-03-01,The Runaway Asteroid,en,"Cooper, Michael D.",Science Fiction,3748
3749,11586,Text,2004-03-01,"L'Ameublement de l'HÃ´tel de Pitsembourg au milieu du XVIIe siÃ¨cle
Communication faite en sÃ©ance du 26 avril 1901",fr,"D'Awans, Robert",FR Histoire,3749
3750,11587,Text,2004-03-01,The School Book of Forestry,en,"Pack, Charles Lathrop, 1857-1937",Forestry,3750
3751,11588,Text,2004-03-01,L'argent des autres: 1. Les hommes de paille,fr,"Gaboriau, Emile, 1832-1873",Detective Fiction; FR LittÃ©rature,3751
3752,11589,Text,2004-03-01,Le Docteur Ox,fr,"Verne, Jules, 1828-1905",FR LittÃ©rature,3752
3753,11590,Text,2004-03-01,Les FranÃ§ais en AmÃ©rique pendant la guerre de l'indÃ©pendance des Ãtats-Unis 1777-1783,fr,"Balch, Thomas, 1821-1877",FR Histoire,3753
3754,11592,Text,2004-03-01,Children's Hour with Red Riding Hood and Other Stories,en,"Piper, Watty, pseud. [Editor]",Children's Picture Books; Children's Anthologies,3754
3755,11596,Text,2004-03-01,La Maison Tellier,fr,"Maupassant, Guy de, 1850-1893",FR Nouvelles,3755
3756,11597,Text,2004-03-01,Mlle Fifi: Nouveaux Contes,fr,"Maupassant, Guy de, 1850-1893",FR Nouvelles,3756
3757,11602,Text,2004-03-01,The World of Ice,en,"Ballantyne, R. M. (Robert Michael), 1825-1894",Children's Fiction,3757
3758,11604,Text,2004-03-01,"The Atlantic Monthly, Volume 06, No. 33, July, 1860
A Magazine Of Literature, Art, And Politics",en,Various,The Atlantic Monthly,3758
3759,11606,Text,2004-03-01,"The Atlantic Monthly, Volume 03, No. 16, February, 1859
A Magazine of Literature, Art, and Politics",en,Various,The Atlantic Monthly,3759
3760,11607,Text,2004-03-01,"Dio's Rome, Volume 2
An Historical Narrative Originally Composed in Greek During the Reigns of Septimius Severus, Geta and Caracalla, Macrinus, Elagabalus and Alexander Severus: and Now Presented in English Form",en,"Cassius Dio Cocceianus; Foster, Herbert Baldwin, 1874-1906 [Translator]",Classical Antiquity,3760
3761,11609,Text,2004-03-01,The Golden Canyon,en,"Henty, G. A. (George Alfred), 1832-1902",Children's Fiction,3761
3762,11611,Text,2004-03-01,"The Mirror of Literature, Amusement, and Instruction. Volume 13, No. 374, June 6, 1829",en,Various,"The Mirror of Literature, Amusement, and Instruction",3762
3763,11612,Text,2004-03-01,"The Mirror of Literature, Amusement, and Instruction. Volume 19, No. 550, June 2, 1832",en,Various,"The Mirror of Literature, Amusement, and Instruction",3763
3764,11613,Text,2004-03-01,"The Mirror of Literature, Amusement, and Instruction. Volume 19, No. 551, June 9, 1832",en,Various,"The Mirror of Literature, Amusement, and Instruction",3764
3765,11615,Text,2004-03-01,The Grammar of English Grammars,en,"Brown, Goold, 1791-1857",Language Education,3765
3766,11616,Text,2004-03-01,"The Mirror of Literature, Amusement, and Instruction. Volume 19, No. 552, June 16, 1832",en,Various,"The Mirror of Literature, Amusement, and Instruction",3766
3767,11617,Text,2004-03-01,"Punch, or the London Charivari, Volume 156, April 2, 1919",en,Various,Contemporary Reviews; Adventure; Punch,3767
3768,11619,Text,2004-03-01,"Punch, or the London Charivari, Volume 153, November 21, 1917",en,Various,Punch,3768
3769,11620,Text,2004-03-01,My Brilliant Career,en,"Franklin, Miles, 1879-1954",Australia,3769
3770,11621,Text,2004-03-01,Le Mauvais GÃ©nie,fr,"SÃ©gur, Sophie, comtesse de, 1799-1874",FR Jeunesse,3770
3771,11622,Text,2004-03-01,Plus fort que Sherlock HolmÃ¨s,fr,"Twain, Mark, 1835-1910; GaÃ¯l, FranÃ§ois de, 1874-1947 [Translator]",FR LittÃ©rature,3771
3772,11627,Text,2004-03-01,"The World's Great Sermons, Volume 02: Hooker to South",en,"Kleiser, Grenville, 1868-1953 [Editor]",Christianity,3772
3773,11629,Text,2004-03-01,"Punch, or the London Charivari, Volume 153, December 26, 1917",en,Various,Punch,3773
3774,11630,Text,2004-03-01,"Punch, or the London Charivari, Volume 156, June 18, 1919",en,Various,Punch,3774
3775,11631,Text,2004-03-01,"The Mirror of Literature, Amusement, and Instruction. Volume 19, No. 553, June 23, 1832",en,Various,"The Mirror of Literature, Amusement, and Instruction",3775
3776,11633,Text,2004-03-01,"Parsifal
A Mystical Drama by Richard Wagner Retold in the Spirit of the Bayreuth Interpretation",en,"Huckel, Oliver, 1864-1940; Wagner, Richard, 1813-1883",Opera,3776
3777,11636,Text,2004-03-01,"Notes and Queries, Number 05, December 1, 1849",en,Various,Notes and Queries,3777
3778,11637,Text,2004-03-01,"The Mirror of Literature, Amusement, and Instruction. Volume 20, No. 558, July 21, 1832",en,Various,"The Mirror of Literature, Amusement, and Instruction",3778
3779,11638,Text,2004-03-01,"Punch, or the London Charivari, Volume 153, July 18, 1917",en,Various,Punch,3779
3780,11639,Text,2004-03-01,Figures of Earth: A Comedy of Appearances,en,"Cabell, James Branch, 1879-1958; PapÃ©, Frank Cheyne, 1878-1972 [Illustrator]",Fantasy,3780
3781,11641,Text,2004-03-01,Over There: War Scenes on the Western Front,en,"Bennett, Arnold, 1867-1931",World War I,3781
3782,11642,Text,2004-03-01,"What to See in England
A Guide to Places of Historic Interest, Natural Beauty or Literary Association",en,"Home, Gordon, 1878-1969",United Kingdom,3782
3783,11644,Text,2004-03-01,La notte del Commendatore,it,"Barrili, Anton Giulio, 1836-1908",IT Romanzi,3783
3784,11645,Text,2004-03-01,La rÃ´tisserie de la Reine PÃ©dauque,fr,"France, Anatole, 1844-1924",FR LittÃ©rature,3784
3785,11646,Text,2004-03-01,Noa Noa,fr,"Gauguin, Paul, 1848-1903; Morice, Charles, 1861-1919",FR Voyages et pays,3785
3786,11647,Text,2004-03-01,"Scientific American Supplement, No. 458, October 11, 1884",en,Various,Scientific American,3786
3787,11648,Text,2004-03-01,"Scientific American Supplement, No. 595, May 28, 1887",en,Various,Scientific American,3787
3788,11649,Text,2004-03-01,"Scientific American Supplement, No. 799, April 25, 1891",en,Various,Scientific American,3788
3789,11650,Text,2004-03-01,La Belle-Nivernaise: Histoire d'un vieux bateau et de son Ã©quipage,fr,"Daudet, Alphonse, 1840-1897",FR LittÃ©rature,3789
3790,11651,Text,2004-03-01,"Notes and Queries, Number 07, December 15, 1849",en,Various,Notes and Queries,3790
3791,11652,Text,2004-03-01,"Notes and Queries, Number 08, December 22, 1849",en,Various,Notes and Queries,3791
3792,11653,Text,2004-03-01,"Notes and Queries, Number 11, January 12, 1850",en,Various,Notes and Queries,3792
3793,11656,Text,2004-03-01,The Great Shadow and Other Napoleonic Tales,en,"Doyle, Arthur Conan, 1859-1930",Historical Fiction,3793
3794,11660,Text,2004-03-01,Ethel Morton's Enterprise,en,"Smith, Mabell S. C. (Mabell Shippie Clarke), 1864-1942",Children's Book Series,3794
3795,11662,Text,2004-03-01,"Scientific American Supplement, No. 598, June 18, 1887",en,Various,Scientific American,3795
3796,11664,Text,2004-03-01,"The Camp Fire Girls Do Their Bit; Or, Over the Top with the Winnebagos",en,"Frey, Hildegard G., 1891-1957",Children's Book Series,3796
3797,11666,Text,2004-03-01,The Conjure Woman,en,"Chesnutt, Charles W. (Charles Waddell), 1858-1932",African American Writers,3797
3798,11668,Text,2004-03-01,The Gold Hunters: A Story of Life and Adventure in the Hudson Bay Wilds,en,"Curwood, James Oliver, 1878-1927",Canada,3798
3799,11670,Text,2004-03-01,"Punch, or the London Charivari, Volume 156, June 11, 1919",en,Various,Punch,3799
3800,11677,Text,2004-03-01,Ohne den Vater: ErzÃ¤hlung aus dem Kriege,de,"Sapper, Agnes, 1852-1929",DE Prosa,3800
3801,11678,Text,2004-03-01,La belle Gabrielle â Tome 2,fr,"Maquet, Auguste, 1813-1888",FR LittÃ©rature,3801
3802,11682,Text,2004-03-01,The Soul of the War,en,"Gibbs, Philip, 1877-1962",World War I,3802
3803,11684,Text,2004-03-01,Il sogno di Scipione,it,"Metastasio, Pietro, 1698-1782",Opera; IT Musica,3803
3804,11685,Text,2004-03-01,L'Endimione,it,"Metastasio, Pietro, 1698-1782",Opera; IT Poesia,3804
3805,11687,Text,2004-03-01,"The Atlantic Monthly, Volume 03, No. 17, March, 1859
A Magazine of Literature, Art, and Politics",en,Various,The Atlantic Monthly,3805
3806,11689,Text,2004-03-01,Are Women People? A Book of Rhymes for Suffrage Times,en,"Miller, Alice Duer, 1874-1942",Suffrage,3806
3807,11692,Text,2004-03-01,"The German Classics of the Nineteenth and Twentieth Centuries, Volume 03
Masterpieces of German Literature Translated into English. in Twenty Volumes",en,"Francke, Kuno, 1855-1930 [Editor]",Germany,3807
3808,11693,Text,2004-03-01,"The World's Great Sermons, Volume 08: Talmage to Knox Little",en,"Kleiser, Grenville, 1868-1953 [Editor]",Christianity,3808
3809,11695,Text,2004-03-01,"The Mirror of Literature, Amusement, and Instruction. Volume 20, No. 561, August 11, 1832",en,Various,"The Mirror of Literature, Amusement, and Instruction",3809
3810,11696,Text,2004-03-01,The Food of the Gods and How It Came to Earth,en,"Wells, H. G. (Herbert George), 1866-1946",Contemporary Reviews; Movie Books; Science Fiction,3810
3811,11701,Text,2004-03-01,"The Makers and Teachers of Judaism
From the Fall of Jerusalem to the Death of Herod the Great",en,"Kent, Charles Foster, 1867-1925",Judaism,3811
3812,11702,Text,2004-03-01,Washington and his colleagues; a chronicle of the rise and fall of federalism,en,"Ford, Henry Jones, 1851-1925; Johnson, Allen, 1870-1931 [Editor]",Children's History; United States,3812
3813,11704,Text,2004-03-01,"Punch, or the London Charivari, Volume 153, July 25, 1917",en,Various,Punch,3813
3814,11705,Text,2004-03-01,"The Mirror of Literature, Amusement, and Instruction. Volume 20, No. 560, August 4, 1832",en,Various,"The Mirror of Literature, Amusement, and Instruction",3814
3815,11706,Text,2004-03-01,"The Mirror of Literature, Amusement, and Instruction. Volume 20, No. 559, July 28, 1832",en,Various,"The Mirror of Literature, Amusement, and Instruction",3815
3816,11707,Text,2004-03-01,"Notes and Queries, Number 13, January 26, 1850",en,Various,Notes and Queries,3816
3817,11708,Text,2004-03-01,"Abraham Lincoln, a History â Volume 02",en,"Hay, John, 1838-1905; Nicolay, John G. (John George), 1832-1901",US Civil War,3817
3818,11709,Text,2004-03-01,"Slave Narratives: A Folk History of Slavery in the United States from Interviews with Former Slaves, Volume II, Arkansas Narratives, Part 6",en,United States. Work Projects Administration,Slavery,3818
3819,11710,Text,2004-03-01,"The Mirror of Literature, Amusement, and Instruction. Volume 13, No. 375, June 13, 1829",en,Various,"The Mirror of Literature, Amusement, and Instruction",3819
3820,11712,Text,2004-03-01,"Punch, or the London Charivari, Volume 156, June 25, 1919",en,Various,Contemporary Reviews; Punch,3820
3821,11713,Text,2004-03-01,"The World's Great Sermons, Volume 03: Massillon to Mason",en,"Kleiser, Grenville, 1868-1953 [Editor]",Christianity,3821
3822,11714,Text,2004-03-01,Contes de la Becasse,fr,"Maupassant, Guy de, 1850-1893",FR Nouvelles,3822
3823,11715,Text,2004-03-01,The Eyes of the World,en,"Wright, Harold Bell, 1872-1944","Bestsellers, American, 1895-1923",3823
3824,11716,Text,2004-03-01,The Balkans: A History of BulgariaâSerbiaâGreeceâRumaniaâTurkey,en,"Forbes, Nevill, 1883-1929; Hogarth, D. G. (David George), 1862-1927; Mitrany, David, 1888-1975; Toynbee, Arnold, 1889-1975",Children's History; Bulgaria; Greece,3824
3825,11718,Text,2004-03-01,"The Camp Fire Girls at School; Or, The Wohelo Weavers",en,"Frey, Hildegard G., 1891-1957",Children's Book Series; School Stories,3825
3826,11719,Text,2004-03-01,Kincaid's Battery,en,"Cable, George Washington, 1844-1925; Kimball, Alonzo, 1874-1923 [Illustrator]",US Civil War,3826
3827,11724,Text,2004-03-01,Roberta,it,"ZÃ¹ccoli, Luciano, 1868-1929",IT Romanzi,3827
3828,11726,Text,2004-03-01,"Punch, or the London Charivari, Volume 99, July 5, 1890",en,Various,Punch,3828
3829,11727,Text,2004-03-01,"The Atlantic Monthly, Volume 03, No. 19, May, 1859
A Magazine of Literature, Art, and Politics",en,Various,The Atlantic Monthly,3829
3830,11730,Text,2004-03-01,With the Allies,en,"Davis, Richard Harding, 1864-1916",World War I,3830
3831,11732,Text,2004-03-01,"Punch, or the London Charivari, Volume 156, April 16, 1919",en,Various,Punch,3831
3832,11734,Text,2004-03-01,"Scientific American Supplement, No. 460, October 25, 1884",en,Various,Scientific American,3832
3833,11735,Text,2004-03-01,"Scientific American Supplement, No. 481, March 21, 1885",en,Various,Scientific American,3833
3834,11736,Text,2004-03-01,"Scientific American Supplement, No. 586, March 26, 1887",en,Various,Scientific American,3834
3835,11740,Text,2004-03-01,"The Mirror of Literature, Amusement, and Instruction. Volume 13, No. 364, April 4, 1829",en,Various,"The Mirror of Literature, Amusement, and Instruction",3835
3836,11741,Text,2004-03-01,"The Mirror of Literature, Amusement, and Instruction. Volume 19, No. 539, March 24, 1832",en,Various,"The Mirror of Literature, Amusement, and Instruction",3836
3837,11742,Text,2004-03-01,"The Mirror of Literature, Amusement, and Instruction. Volume 13, No. 367, April 25, 1829",en,Various,"The Mirror of Literature, Amusement, and Instruction",3837
3838,11743,Text,2004-03-01,"The Mirror of Literature, Amusement, and Instruction. Volume 19, No. 548, May 26, 1832",en,Various,"The Mirror of Literature, Amusement, and Instruction",3838
3839,11744,Text,2004-03-01,"L'oppidum de Bibracte
Guide historique et archÃ©ologique au Mont Beuvray; d'aprÃ¨s les documents archÃ©ologiques les plus rÃ©cents",fr,"Bulliot, Jacques-Gabriel, 1817-1902 [Editor]",FR Histoire,3839
3840,11745,Text,2004-03-01,"Blackwood's Edinburgh Magazine â Volume 53, No. 330, April 1843",en,Various,Blackwood's Edinburgh Magazine,3840
3841,11747,Text,2004-03-01,Les Demi-Vierges,fr,"PrÃ©vost, Marcel, 1862-1941",FR LittÃ©rature,3841
3842,11748,Text,2004-03-01,French Conversation and Composition,en; fr,"Wann, Harry Vincent, 1887-",Language Education; FR Education et Enseignement,3842
3843,11749,Text,2004-03-01,New Comedies,en,"Gregory, Lady, 1852-1932",One Act Plays,3843
3844,11751,Text,2004-03-01,"The Atlantic Monthly, Volume 03, No. 20, June, 1859
A Magazine of Literature, Art, and Politics",en,Various,The Atlantic Monthly,3844
3845,11752,Text,2004-03-01,Chivalry: Dizain des Reines,en,"Cabell, James Branch, 1879-1958; Rascoe, Burton, 1892-1957 [Author of introduction, etc.]",Fantasy,3845
3846,11757,Text,2004-03-01,The Velveteen Rabbit,en,"Bianco, Margery Williams, 1881-1944",Children's Literature,3846
3847,11758,Text,2004-03-01,Baldy of Nome,en,"Darling, Esther Birdsall",Animals-Domestic,3847
3848,11759,Text,2004-03-01,The Bicyclers and Three Other Farces,en,"Bangs, John Kendrick, 1862-1922",One Act Plays,3848
3849,11760,Text,2004-03-01,"The World's Great Sermons, Volume 10: Drummond to Jowett, and General Index",en,"Kleiser, Grenville, 1868-1953 [Editor]",Christianity,3849
3850,11761,Text,2004-04-01,"Scientific American Supplement, No. 514, November 7, 1885",en,Various,Scientific American,3850
3851,11762,Text,2004-04-01,"The American Missionary â Volume 42, No. 01, January, 1888",en,Various,The American Missionary,3851
3852,11763,Text,2004-04-01,"The American Missionary â Volume 42, No. 02, February, 1888",en,Various,The American Missionary,3852
3853,11764,Text,2004-04-01,"The American Missionary â Volume 42, No. 03, March, 1888",en,Various,The American Missionary,3853
3854,11766,Text,2004-04-01,Contes bruns,fr,"Balzac, HonorÃ© de, 1799-1850; Chasles, PhilarÃ¨te, 1798-1873; Rabou, Charles, 1803-1870",FR Nouvelles,3854
3855,11767,Text,2004-04-01,Contes Ã  Jeannot,fr,"Girardin, Jules, 1832-1888",FR Jeunesse,3855
3856,11769,Text,2004-04-01,Un mois en Afrique,fr,"Bonaparte, Pierre NapolÃ©on, prince, 1815-1881",FR Guerres,3856
3857,11770,Text,2004-04-01,Lettres de mon moulin,fr,"Daudet, Alphonse, 1840-1897",FR Nouvelles,3857
3858,11772,Text,2004-04-01,"Narrative of a Voyage to Senegal in 1816
Undertaken by Order of the French Government, Comprising an Account of the Shipwreck of the Medusa, the Sufferings of the Crew, and the Various Occurrences on Board the Raft, in the Desert of Zaara, at St. Louis, and at the Camp of Daccard. to Which Are Subjoined Observations Respecting the Agriculture of the Western Coast of Africa, from Cape Blanco to the Mouth of the Gambia.",en,"CorrÃ©ard, Alexandre, 1788-1857; Savigny, Jean Baptiste Henri, 1793-1843",Africa,3858
3859,11860,Text,2004-03-01,"Black Beauty, Young Folks' Edition",en,"Sewell, Anna, 1820-1878",Children's Literature,3859
3860,11861,Text,2004-03-01,"Radio Boys Cronies; Or, Bill Brown's Radio",en,"Aaron, S. F. (Samuel Francis), 1862-; Whipple, Wayne, 1856-1942",Children's Book Series,3860
3861,11862,Text,2004-03-01,"The Mirror of Literature, Amusement, and Instruction. Volume 20, No. 563, August 25, 1832",en,Various,"The Mirror of Literature, Amusement, and Instruction",3861
3862,11863,Text,2004-04-01,"The Mirror of Literature, Amusement, and Instruction. Volume 20, No. 572, October 20, 1832",en,Various,"The Mirror of Literature, Amusement, and Instruction",3862
3863,11864,Text,2004-04-01,"The Mirror of Literature, Amusement, and Instruction. Volume 20, No. 570, October 13, 1832",en,Various,"The Mirror of Literature, Amusement, and Instruction",3863
3864,11865,Text,2004-04-01,"The Mirror of Literature, Amusement, and Instruction. Volume 20, No. 564, September 1, 1832",en,Various,"The Mirror of Literature, Amusement, and Instruction",3864
3865,11868,Text,2004-04-01,"Punch, or the London Charivari, Volume 156, February 5, 1919",en,Various,Contemporary Reviews; Punch,3865
3866,11870,Text,2004-04-01,"The Country of the Blind, and Other Stories",en,"Wells, H. G. (Herbert George), 1866-1946",Science Fiction,3866
3867,11871,Text,2004-04-01,"The Mirror of Literature, Amusement, and Instruction. Volume 19, No. 549 (Supplementary number)",en,Various,"The Mirror of Literature, Amusement, and Instruction",3867
3868,11872,Text,2004-04-01,"Punch, or the London Charivari, Volume 156, April 23, 1919",en,Various,Punch,3868
3869,11877,Text,2004-04-01,Monkey Jack and Other Stories,en,"Cox, Palmer, 1840-1924 [Editor]",Children's Picture Books,3869
3870,11880,Text,2004-04-01,Ronicky Doone,en,"Brand, Max, 1892-1944",Western,3870
3871,11881,Text,2004-04-01,The Shadow of the North: A Story of Old New York and a Lost Campaign,en,"Altsheler, Joseph A. (Joseph Alexander), 1862-1919",Children's Fiction,3871
3872,11885,Text,2004-04-01,"The Mirror of Literature, Amusement, and Instruction. Volume 19, No. 534, February 18, 1832",en,Various,"The Mirror of Literature, Amusement, and Instruction",3872
3873,11886,Text,2004-04-01,"The Mirror of Literature, Amusement, and Instruction. Volume 19, No. 538, March 17, 1832",en,Various,"The Mirror of Literature, Amusement, and Instruction",3873
3874,11887,Text,2004-04-01,"The Mirror of Literature, Amusement, and Instruction. Volume 20, No. 568, September 29, 1832",en,Various,"The Mirror of Literature, Amusement, and Instruction",3874
3875,11888,Text,2004-04-01,"The Mirror of Literature, Amusement, and Instruction. Volume 20, No. 575, November 10, 1832",en,Various,"The Mirror of Literature, Amusement, and Instruction",3875
3876,11892,Text,2004-04-01,Gardening for the Million,en,"Pink, Alfred",Horticulture,3876
3877,11893,Text,2004-04-01,"Journal d'un sous-officier, 1870",fr,"Delorme, AmÃ©dÃ©e, 1850-1936",FR Guerres,3877
3878,11894,Text,2004-04-01,"The Mahabharata of Krishna-Dwaipayana Vyasa Translated into English Prose 
Vana Parva, Part 1",en,"Ganguli, Kisari Mohan [Translator]",Hinduism,3878
3879,11903,Text,2004-04-01,"The Mirror of Literature, Amusement, and Instruction. Volume 20, No. 573, October 27, 1832",en,Various,"The Mirror of Literature, Amusement, and Instruction",3879
3880,11904,Text,2004-04-01,Ailsa Paige: A Novel,en,"Chambers, Robert W. (Robert William), 1865-1933",US Civil War,3880
3881,11905,Text,2004-04-01,Sous les marronniers: Contes et rÃ©cits,fr,"Muller, EugÃ¨ne, 1826-1913",FR Nouvelles,3881
3882,11907,Text,2004-04-01,"Punch, or the London Charivari, Volume 99, July 12, 1890",en,Various,Punch,3882
3883,11908,Text,2004-04-01,"Punch, or the London Charivari, Volume 156, March 19, 1919",en,Various,Punch,3883
3884,11910,Text,2004-04-01,"Punch, or the London Charivari, Volume 153, August 8, 1917",en,Various,Punch,3884
3885,11915,Text,2004-04-01,The Adventures of Mr. Mocker,en,"Burgess, Thornton W. (Thornton Waldo), 1874-1965",Children's Book Series; Children's Literature,3885
3886,11917,Text,2004-04-01,The Story of Ireland,en,"Lawless, Emily, 1845-1913",Children's History,3886
3887,11919,Text,2004-04-01,"Punch, or the London Charivari, Volume 99, July 19, 1890",en,Various,Contemporary Reviews; Punch,3887
3888,11920,Text,2004-04-01,"Slave Narratives: A Folk History of Slavery in the United States from Interviews with Former Slaves, Volume VII, Kentucky Narratives",en,United States. Work Projects Administration,Slavery,3888
3889,11924,Text,2004-04-01,The Loves of Krishna in Indian Painting and Poetry,en,"Archer, W. G. (William George), 1907-1979",Hinduism,3889
3890,11925,Text,2004-04-06,Elementare Arithmetik und Algebra,de,"Schubert, Hermann, 1848-1911",Mathematics; DE Sachbuch,3890
3891,11927,Text,2004-04-01,Aventures du Capitaine Hatteras,fr,"Verne, Jules, 1828-1905",FR LittÃ©rature,3891
3892,11928,Text,2004-04-01,Les douze nouvelles nouvelles,fr,"Houssaye, ArsÃ¨ne, 1815-1896",FR Nouvelles,3892
3893,11929,Text,2004-04-01,"Notes and Queries, Number 15, February 9, 1850",en,Various,Notes and Queries,3893
3894,11930,Text,2004-04-01,More Fables,en,"Ade, George, 1866-1944",Folklore,3894
3895,11932,Text,2004-04-01,"The Mirror of Literature, Amusement, and Instruction. Volume 20, No. 576, November 17, 1832",en,Various,"The Mirror of Literature, Amusement, and Instruction",3895
3896,11936,Text,2004-04-01,The Wise Mamma Goose,en,"Herr, Charlotte B. (Charlotte Bronte), 1875-1963",Children's Picture Books,3896
3897,11938,Text,2004-04-01,Folklore of the Santal Parganas,en,"Bompas, Cecil Henry",Folklore; India,3897
3898,11947,Text,2004-04-01,"On the Edge of the War Zone
From the Battle of the Marne to the Entrance of the Stars and Stripes",en,"Aldrich, Mildred, 1853-1928",World War I,3898
3899,11951,Text,2004-04-01,"A Popular History of France from the Earliest Times, Volume 1",en,"Guizot, FranÃ§ois, 1787-1874; Neuville, Alphonse Marie de, 1835-1885 [Illustrator]; Black, Robert, 1830?-1915 [Translator]",France,3899
3900,11952,Text,2004-04-01,"A Popular History of France from the Earliest Times, Volume 2",en,"Guizot, FranÃ§ois, 1787-1874; Neuville, Alphonse Marie de, 1835-1885 [Illustrator]; Black, Robert, 1830?-1915 [Translator]",France,3900
3901,11953,Text,2004-04-01,"A Popular History of France from the Earliest Times, Volume 3",en,"Guizot, FranÃ§ois, 1787-1874; Neuville, Alphonse Marie de, 1835-1885 [Illustrator]; Black, Robert, 1830?-1915 [Translator]",France,3901
3902,11954,Text,2004-04-01,"A Popular History of France from the Earliest Times, Volume 4",en,"Guizot, FranÃ§ois, 1787-1874; Neuville, Alphonse Marie de, 1835-1885 [Illustrator]; Black, Robert, 1830?-1915 [Translator]",France,3902
3903,11955,Text,2004-04-01,"A Popular History of France from the Earliest Times, Volume 5",en,"Guizot, FranÃ§ois, 1787-1874; Neuville, Alphonse Marie de, 1835-1885 [Illustrator]; Black, Robert, 1830?-1915 [Translator]",France,3903
3904,11956,Text,2004-04-01,"A Popular History of France from the Earliest Times, Volume 6",en,"Guizot, FranÃ§ois, 1787-1874; Neuville, Alphonse Marie de, 1835-1885 [Illustrator]; Black, Robert, 1830?-1915 [Translator]",France,3904
3905,11958,Text,2004-04-01,"Notes and Queries, Number 21, March 23, 1850",en,Various,Notes and Queries,3905
3906,11961,Text,2004-04-01,The Lords of the Wild: A Story of the Old New York Border,en,"Altsheler, Joseph A. (Joseph Alexander), 1862-1919",Children's Fiction,3906
3907,11963,Text,2004-04-01,"Punch, or the London Charivari, Volume 156, June 4, 1919.",en,Various,Contemporary Reviews; Punch,3907
3908,11964,Text,2004-04-01,"Histoire de la RÃ©volution franÃ§aise, Tome 07",fr,"Thiers, Adolphe, 1797-1877",FR Histoire,3908
3909,11969,Text,2004-04-01,"Duty, and Other Irish Comedies",en,"O'Brien, Seumas, 1880-",One Act Plays,3909
3910,11978,Text,2004-04-01,"Brave Tom; Or, The Battle That Won",en,"Ellis, Edward Sylvester, 1840-1916",Children's Fiction,3910
3911,11979,Text,2004-04-01,"The Diverting History of John Gilpin
Showing How He Went Farther Than He Intended, and Came Safe Home Again",en,"Cowper, William, 1731-1800; Caldecott, Randolph, 1846-1886 [Illustrator]",Children's Picture Books,3911
3912,11981,Text,2004-04-01,"The World's Great Sermons, Volume 01: Basil to Calvin",en,"Kleiser, Grenville, 1868-1953 [Editor]",Christianity,3912
3913,11984,Text,2004-04-01,"A Pluralistic Universe
Hibbert Lectures at Manchester College on the Present Situation in Philosophy",en,"James, William, 1842-1910",Philosophy,3913
